model,method,sample_idx,img_path,y_true,faithfulness_correlation,max_sensitivity
vit_b16,integrated_gradients,0,data\chest_xray\test\NORMAL\IM-0079-0001.jpeg,0,-0.04089168459177017,0.347766637802124
vit_b16,integrated_gradients,1,data\chest_xray\test\PNEUMONIA\person1668_virus_2882.jpeg,1,0.6504324078559875,0.4882907271385193
vit_b16,integrated_gradients,2,data\chest_xray\test\NORMAL\NORMAL2-IM-0350-0001.jpeg,0,-0.18993820250034332,0.3498355746269226
vit_b16,integrated_gradients,3,data\chest_xray\test\PNEUMONIA\person21_virus_52.jpeg,1,-0.11304950714111328,0.5655628442764282
vit_b16,integrated_gradients,4,data\chest_xray\test\NORMAL\IM-0091-0001.jpeg,0,-0.2729686200618744,0.38499724864959717
vit_b16,integrated_gradients,5,data\chest_xray\test\PNEUMONIA\person122_bacteria_582.jpeg,1,0.18317756056785583,1.1094156503677368
vit_b16,integrated_gradients,6,data\chest_xray\test\NORMAL\NORMAL2-IM-0302-0001.jpeg,0,-0.06482631713151932,0.37541675567626953
vit_b16,integrated_gradients,7,data\chest_xray\test\PNEUMONIA\person147_bacteria_707.jpeg,1,0.21880896389484406,0.4114389717578888
vit_b16,integrated_gradients,8,data\chest_xray\test\PNEUMONIA\person108_bacteria_506.jpeg,1,0.01665312610566616,0.4346804618835449
vit_b16,integrated_gradients,9,data\chest_xray\test\PNEUMONIA\person125_bacteria_594.jpeg,1,-0.01163116842508316,0.6221086382865906
vit_b16,integrated_gradients,10,data\chest_xray\test\NORMAL\NORMAL2-IM-0335-0001.jpeg,0,0.20313270390033722,0.3574249744415283
vit_b16,integrated_gradients,11,data\chest_xray\test\NORMAL\IM-0015-0001.jpeg,0,0.11048794537782669,0.46089985966682434
vit_b16,integrated_gradients,12,data\chest_xray\test\PNEUMONIA\person44_virus_94.jpeg,1,0.2089892476797104,0.4971310496330261
vit_b16,integrated_gradients,13,data\chest_xray\test\NORMAL\NORMAL2-IM-0232-0001.jpeg,0,0.4925627112388611,0.5894845128059387
vit_b16,integrated_gradients,14,data\chest_xray\test\PNEUMONIA\person109_bacteria_517.jpeg,1,-0.19226203858852386,0.47195643186569214
vit_b16,integrated_gradients,15,data\chest_xray\test\PNEUMONIA\person127_bacteria_604.jpeg,1,0.12129136919975281,0.46325963735580444
vit_b16,integrated_gradients,16,data\chest_xray\test\PNEUMONIA\person54_virus_109.jpeg,1,0.17426541447639465,0.45530757308006287
vit_b16,integrated_gradients,17,data\chest_xray\test\NORMAL\NORMAL2-IM-0277-0001.jpeg,0,0.0770450308918953,0.4055044949054718
vit_b16,integrated_gradients,18,data\chest_xray\test\PNEUMONIA\person1633_virus_2829.jpeg,1,0.06377866864204407,0.478421688079834
vit_b16,integrated_gradients,19,data\chest_xray\test\PNEUMONIA\person1685_virus_2903.jpeg,1,0.03562837094068527,0.5605824589729309
vit_b16,integrated_gradients,20,data\chest_xray\test\NORMAL\NORMAL2-IM-0359-0001.jpeg,0,0.09685562551021576,0.3909399211406708
vit_b16,integrated_gradients,21,data\chest_xray\test\PNEUMONIA\person78_bacteria_387.jpeg,1,-0.007885489612817764,0.4433102011680603
vit_b16,integrated_gradients,22,data\chest_xray\test\PNEUMONIA\person56_virus_112.jpeg,1,0.2987044155597687,0.536102294921875
vit_b16,integrated_gradients,23,data\chest_xray\test\NORMAL\NORMAL2-IM-0141-0001.jpeg,0,0.3672066628932953,0.3989195227622986
vit_b16,integrated_gradients,24,data\chest_xray\test\PNEUMONIA\person121_bacteria_579.jpeg,1,0.040396809577941895,0.6352049112319946
vit_b16,integrated_gradients,25,data\chest_xray\test\NORMAL\NORMAL2-IM-0275-0001.jpeg,0,-0.013624569401144981,0.36585018038749695
vit_b16,integrated_gradients,26,data\chest_xray\test\NORMAL\NORMAL2-IM-0072-0001.jpeg,0,-0.03436129912734032,0.41381341218948364
vit_b16,integrated_gradients,27,data\chest_xray\test\PNEUMONIA\person28_virus_63.jpeg,1,0.41365596652030945,0.5622050762176514
vit_b16,integrated_gradients,28,data\chest_xray\test\PNEUMONIA\person3_virus_16.jpeg,1,0.0797950029373169,0.5870292782783508
vit_b16,integrated_gradients,29,data\chest_xray\test\NORMAL\NORMAL2-IM-0351-0001.jpeg,0,0.19173528254032135,0.428404837846756
vit_b16,integrated_gradients,30,data\chest_xray\test\PNEUMONIA\person81_bacteria_398.jpeg,1,0.14765611290931702,0.5794079303741455
vit_b16,integrated_gradients,31,data\chest_xray\test\PNEUMONIA\person85_bacteria_423.jpeg,1,0.1394011229276657,0.5723967552185059
vit_b16,integrated_gradients,32,data\chest_xray\test\PNEUMONIA\person63_virus_121.jpeg,1,0.18759162724018097,0.5106818079948425
vit_b16,integrated_gradients,33,data\chest_xray\test\NORMAL\NORMAL2-IM-0073-0001.jpeg,0,0.22445155680179596,0.6330161094665527
vit_b16,integrated_gradients,34,data\chest_xray\test\PNEUMONIA\person152_bacteria_724.jpeg,1,0.028095697984099388,0.41752469539642334
vit_b16,integrated_gradients,35,data\chest_xray\test\NORMAL\NORMAL2-IM-0312-0001.jpeg,0,-0.06008843705058098,0.3143905997276306
vit_b16,integrated_gradients,36,data\chest_xray\test\PNEUMONIA\person78_bacteria_380.jpeg,1,0.03471066802740097,0.6474701166152954
